-1.15E-01,-6.40E-01
-1.08E-01,-6.55E-01
-8.56E-02,-6.70E-01
-5.21E-02,-6.85E-01
-7.45E-03,-7.07E-01
3.35E-02,-7.30E-01
6.70E-02,-7.48E-01
8.94E-02,-7.60E-01
1.04E-01,-7.60E-01
1.04E-01,-7.60E-01
8.19E-02,-7.41E-01
5.21E-02,-7.15E-01
1.49E-02,-7.00E-01
-2.61E-02,-6.78E-01
-6.70E-02,-6.63E-01
-9.68E-02,-6.52E-01
-1.19E-01,-6.48E-01
-1.27E-01,-6.52E-01
-1.15E-01,-6.63E-01
-9.68E-02,-6.89E-01
-6.33E-02,-7.11E-01
-2.61E-02,-7.30E-01
1.86E-02,-7.48E-01
5.96E-02,-7.60E-01
8.56E-02,-7.60E-01
1.04E-01,-7.60E-01
1.08E-01,-7.45E-01
8.94E-02,-7.19E-01
6.70E-02,-7.00E-01
3.35E-02,-6.81E-01
-1.12E-02,-6.70E-01
-5.21E-02,-6.55E-01
-8.94E-02,-6.52E-01
-1.08E-01,-6.59E-01
-1.27E-01,-6.70E-01
-1.23E-01,-6.85E-01
-1.01E-01,-7.11E-01
-7.45E-02,-7.37E-01
-3.35E-02,-7.45E-01
7.45E-03,-7.60E-01
4.47E-02,-7.63E-01
7.82E-02,-7.60E-01
1.04E-01,-7.45E-01
1.08E-01,-7.22E-01
1.01E-01,-7.07E-01
7.82E-02,-6.78E-01
4.47E-02,-6.66E-01
7.45E-03,-6.48E-01
-3.72E-02,-6.48E-01
-7.07E-02,-6.52E-01
-1.04E-01,-6.66E-01
-1.23E-01,-6.93E-01
-1.23E-01,-7.11E-01
-1.12E-01,-7.30E-01
-8.56E-02,-7.45E-01
-5.59E-02,-7.63E-01
-7.45E-03,-7.63E-01
3.35E-02,-7.56E-01
6.70E-02,-7.41E-01
9.31E-02,-7.22E-01
1.04E-01,-6.96E-01
1.04E-01,-6.78E-01
8.94E-02,-6.66E-01
5.59E-02,-6.48E-01
1.86E-02,-6.52E-01
-2.23E-02,-6.59E-01
-6.33E-02,-6.70E-01
-9.31E-02,-6.93E-01
-1.12E-01,-7.11E-01
-1.23E-01,-7.34E-01
-1.19E-01,-7.52E-01
-9.68E-02,-7.56E-01
-6.70E-02,-7.63E-01
-2.98E-02,-7.52E-01
1.49E-02,-7.45E-01
5.21E-02,-7.22E-01
8.56E-02,-7.00E-01
1.04E-01,-6.85E-01
1.04E-01,-6.70E-01
9.68E-02,-6.55E-01
6.70E-02,-6.48E-01
3.72E-02,-6.59E-01
-7.45E-03,-6.70E-01
-4.47E-02,-6.89E-01
-8.19E-02,-7.07E-01
-1.04E-01,-7.30E-01
-1.23E-01,-7.52E-01
-1.23E-01,-7.56E-01
-1.08E-01,-7.60E-01
-7.82E-02,-7.52E-01
-4.10E-02,-7.37E-01
3.72E-03,-7.15E-01
3.72E-02,-7.00E-01
7.45E-02,-6.78E-01
9.68E-02,-6.70E-01
1.04E-01,-6.55E-01
1.01E-01,-6.55E-01
8.19E-02,-6.63E-01
5.21E-02,-6.70E-01
1.49E-02,-6.96E-01
-2.98E-02,-7.11E-01
